"","nc03_Liver","nc04_Liver","nc05_Liver","nc03_WAT","nc04_WAT","nc05_WAT","nc01_SmIntestine","nc03_SmIntestine","nc04_SmIntestine","nc05_SmIntestine","nc03_LgIntestine","nc04_LgIntestine","nc05_LgIntestine","nc01_Heart","nc02_Heart","nc03_Heart","nc04_Heart","nc05_Heart","nc02_Lung","nc03_Lung","nc04_Lung","nc05_Lung","nc03_Muscle","nc04_Muscle","nc05_Muscle","nc01_Skin","nc02_Skin","nc03_Skin","nc04_Skin","nc05_Skin","nc01_KidneyCortex","nc03_KidneyCortex","nc04_KidneyCortex","nc05_KidneyCortex","nc01_KidneyMedulla","nc02_KidneyMedulla","nc04_KidneyMedulla","nc05_KidneyMedulla","nc01_Spleen","nc04_Spleen","nc05_Spleen","hf01_Liver","hf02_Liver","hf03_Liver","hf04_Liver","hf05_Liver","hf01_WAT","hf02_WAT","hf03_WAT","hf04_WAT","hf05_WAT","hf01_SmIntestine","hf02_SmIntestine","hf03_SmIntestine","hf04_SmIntestine","hf05_SmIntestine","hf01_LgIntestine","hf02_LgIntestine","hf03_LgIntestine","hf04_LgIntestine","hf05_LgIntestine","hf01_Heart","hf02_Heart","hf03_Heart","hf04_Heart","hf05_Heart","hf01_Lung","hf02_Lung","hf03_Lung","hf04_Lung","hf05_Lung","hf01_Muscle","hf02_Muscle","hf03_Muscle","hf04_Muscle","hf05_Muscle","hf01_Skin","hf02_Skin","hf03_Skin","hf04_Skin","hf05_Skin","hf01_KidneyCortex","hf02_KidneyCortex","hf03_KidneyCortex","hf04_KidneyCortex","hf05_KidneyCortex","hf01_KidneyMedulla","hf02_KidneyMedulla","hf03_KidneyMedulla","hf04_KidneyMedulla","hf05_KidneyMedulla","hf01_Spleen","hf02_Spleen","hf03_Spleen","hf04_Spleen","hf05_Spleen"
"A1BG",234,0,0,0,0,1,0,49,642,4,0,3,0,0,0,0,326,3,0,1,0,1,0,22,3,0,0,0,0,1,0,2,2,0,0,6,1,0,0,1,0,0,0,97,0,1,0,0,0,0,24,197,1,0,6,0,0,0,1,148,0,2,0,86,0,0,2,223,0,0,0,11,1,0,4,1222,0,0,1,2,0,0,0,1,0,0,5,0,0,0,0,15,7,3,1,45
"A1CF",54,6,0,21,0,17,0,33,105,5,0,2,0,1,0,0,61,0,0,1,0,0,0,19,0,0,1,0,3,0,0,37,0,0,0,2,3,0,0,68,1,0,0,35,2,0,0,35,17,0,7,64,23,0,1,4,38,0,18,56,0,0,0,11,14,0,49,25,28,0,0,2,6,0,52,293,1,0,24,0,3,0,20,1,29,0,59,0,6,0,144,7,45,1,0,4
"A2M",3938,40,0,91,1,259,0,346,3450,105,2,66,3,1355,0,0,3128,4,3,31,0,44,0,220,36,3,8,8,4,86,0,168,23,2,0,184,1,49,373,185,7,52,1,627,6,97,2,134,12,58,327,760,9,113,17,15,15,53,212,1244,0,859,8,607,10,54,345,1278,189,1109,12,87,1,735,202,8541,44,946,119,90,36,0,124,28,653,1609,264,23,36,1,590,163,917,31,1,185
"A2ML1",0,0,0,2,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0
"A3GALT2",0,2,0,9,0,7,0,1,1,2,0,0,0,3,0,0,1,0,0,1,0,0,0,5,0,0,0,0,1,3,0,46,0,0,0,0,0,0,0,52,0,0,0,0,0,1,1,12,0,0,1,3,0,1,7,2,2,0,4,0,0,2,0,4,0,1,6,0,4,0,0,2,0,0,3,0,0,0,11,0,0,0,2,2,0,3,9,0,0,0,13,0,50,0,0,0
"A4GALT",0,16,0,38,0,123,1,24,1,72,0,8,2,137,1,0,2,20,4,13,1,62,0,10,14,5,7,4,0,112,0,50,10,1,2,13,3,55,5,61,10,23,3,1,8,60,2,46,3,2,78,1,12,64,7,11,14,2,23,2,0,18,11,90,7,3,53,0,55,11,3,55,5,26,36,1,6,13,14,24,11,0,31,14,70,21,30,12,19,0,69,8,313,4,0,7
"A4GNT",0,8,0,0,0,72,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,6,1,0,0,4,0,0,0,0,1,0,0,2,0,0,0,105,0,0,0,0,0,0,0,4,0,0,0,3,0,5,0,87,0,0,0,7,0,0,0,132,0,0,0
"AAAS",0,2,0,18,0,48,0,6,4,3,0,3,1,20,0,0,2,0,0,2,0,6,2,7,5,1,3,0,1,6,0,28,1,1,1,3,4,7,2,34,2,2,0,0,4,4,1,14,7,0,4,4,6,7,1,3,4,0,4,1,0,3,3,20,4,0,10,0,24,3,2,9,5,4,5,4,4,2,5,9,1,0,7,2,36,4,13,3,2,0,18,3,42,1,0,1
"AACS",5,9,0,39,0,67,2,15,17,13,0,9,7,42,1,0,16,5,1,4,11,11,2,11,43,0,8,1,2,31,0,167,34,0,3,2,0,8,3,91,10,2,1,2,3,14,7,34,5,2,19,14,10,16,45,10,6,1,6,2,0,8,32,27,5,3,18,6,69,4,6,14,6,7,15,33,6,11,17,4,7,0,25,77,82,6,25,0,12,0,39,30,120,17,0,1
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",2,0,0,47,0,0,0,51,1,0,0,6,0,0,0,0,4,0,1,0,0,0,0,22,0,0,1,0,0,0,0,225,0,0,1,0,0,0,0,566,2,0,2,0,0,0,0,146,0,0,0,0,0,0,0,22,0,0,69,0,0,0,2,0,0,0,119,0,1,1,0,0,0,0,150,2,0,1,109,0,0,0,29,0,0,3,67,0,1,0,517,1,1,0,0,1
"AAED1",2,1,0,23,0,17,2,6,1,19,0,2,0,39,0,0,4,0,2,6,1,14,0,11,5,1,5,4,1,36,0,34,9,0,1,5,3,13,1,23,1,1,3,0,3,14,0,15,1,1,24,1,3,10,3,4,3,0,11,0,0,4,3,8,2,0,43,0,14,2,1,7,1,2,13,4,1,1,9,4,1,0,14,6,14,7,11,1,2,0,43,9,52,0,0,3
"AAGAB",2,7,0,66,0,82,4,15,13,32,2,6,2,87,1,0,10,5,2,8,2,20,3,13,9,1,9,8,4,65,3,81,8,1,2,13,0,28,6,76,2,6,1,3,4,21,2,44,11,0,39,5,16,27,10,7,19,2,20,1,0,21,14,32,12,3,64,0,75,9,4,29,7,20,52,16,2,11,31,7,8,0,52,11,69,18,37,0,3,4,120,9,223,4,0,4
"AAK1",1,7,0,109,0,90,6,102,2,84,3,11,2,366,3,0,2,22,1,24,9,147,5,72,36,11,24,10,4,326,6,215,25,4,0,22,5,147,14,214,12,53,4,1,6,129,6,147,5,0,106,2,8,138,15,41,19,2,84,1,0,20,33,104,8,2,191,1,64,19,5,65,12,26,133,10,5,16,124,38,14,0,60,23,83,23,181,8,8,1,295,23,205,3,1,8
"AAMDC",1,0,0,12,0,9,1,6,1,15,0,0,0,39,0,0,4,2,0,0,0,12,2,4,2,1,4,0,0,33,1,19,1,0,0,1,1,11,1,19,1,2,0,0,2,14,0,8,0,0,12,0,3,10,2,1,3,0,3,0,0,0,2,4,0,0,9,0,6,0,0,0,0,2,9,5,0,4,3,3,1,0,5,1,13,4,7,0,2,1,14,2,19,0,1,0
"AAMP",16,12,0,66,2,71,5,56,26,37,0,5,1,117,4,0,25,5,1,17,2,25,7,40,13,3,11,14,6,58,0,115,12,1,1,21,2,20,7,133,3,7,2,8,12,19,1,84,7,1,17,8,12,21,4,18,20,1,27,9,0,13,9,96,3,0,86,5,49,8,1,42,12,19,49,45,8,16,44,23,7,0,35,17,84,17,59,9,11,3,135,11,152,6,0,10
"AAR2",10,4,0,32,0,60,2,39,12,16,0,0,0,70,0,0,14,3,0,11,1,19,2,24,7,0,7,2,5,37,1,59,2,1,3,16,1,19,3,70,3,2,2,2,1,18,2,50,4,2,15,2,7,19,2,12,12,2,23,3,0,5,8,38,9,1,77,5,50,11,1,26,3,14,43,32,4,5,34,8,4,1,30,7,60,10,35,4,5,2,129,8,133,3,0,3
"AARD",0,0,0,0,0,1,0,0,0,10,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AARS",17,27,0,160,0,235,27,107,28,87,0,6,7,275,3,0,16,17,1,31,6,64,14,50,20,6,24,21,9,152,10,322,26,4,3,38,17,76,17,282,3,26,3,9,18,62,2,165,25,2,72,19,57,95,16,46,56,1,75,8,0,34,35,167,17,1,149,7,171,28,10,107,20,15,133,76,18,24,101,61,30,1,98,50,261,47,199,7,28,12,334,22,475,7,0,15
