"","ldl01_Heart","ldl02_Heart","ldl03_Heart","ldl04_Heart","ldl06_Heart","ldl07_Heart","ldl08_Heart","ldl10_Heart","ldl13_Heart","ldl14_Heart","ldl15_Heart","ldl16_Heart","ldl17_Heart","ldl18_Heart","ldl19_Heart","ldl20_Heart"
"A1BG",1,31,8,92,0,0,1,0,1,73,13,4,2,28,2,13
"A1CF",0,6,2,15,2,1,2,0,1,9,0,1,1,3,1,2
"A2M",532,439,19,582,574,463,23,282,12,496,639,522,861,106,657,205
"A2ML1",0,2,2,2,2,5,4,4,0,4,3,0,1,3,1,3
"A3GALT2",7,9,6,11,4,4,6,10,6,4,3,9,8,6,4,5
"A4GALT",1453,1263,1392,1151,1800,1231,1466,1535,315,539,514,543,501,401,460,307
"A4GNT",1,4,1,1,2,1,0,3,0,1,0,0,0,0,0,0
"AAAS",121,125,138,97,151,120,125,110,71,83,77,79,60,90,73,83
"AACS",160,142,142,135,237,113,139,157,49,89,94,77,79,72,74,87
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,1,0,0,5,4,0,0,1,0,0,0,0,0
"AADAT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"AAED1",244,197,487,244,431,264,296,306,142,177,174,128,125,103,114,117
"AAGAB",635,464,765,541,770,668,636,654,397,329,400,411,355,374,332,301
"AAK1",630,549,563,532,443,519,566,488,695,779,492,842,448,721,550,811
"AAMDC",403,412,600,534,569,363,433,405,255,368,417,429,292,430,362,216
"AAMP",860,600,913,670,896,735,796,803,398,391,475,581,468,503,423,324
"AAR2",370,268,428,371,470,356,438,387,213,230,193,243,188,175,193,140
"AARD",44,48,62,52,72,44,47,28,4,18,16,17,26,16,12,12
"AARS",2187,1521,1488,1282,1971,1509,1658,1759,1405,1312,1361,1517,1641,1360,1117,788
"AARS2",498,356,338,379,452,315,457,371,279,402,325,367,249,294,245,365
"AARSD1",588,593,675,618,707,586,643,558,272,377,382,439,277,415,320,242
