batch,internal_id,tube_label,novo_id,ng.ul,vol.ul
01-10-2024_trial,nc03_Heart,NC_H3,n1,153,23
01-10-2024_trial,hf05_Heart,HF_H5,n2,271,26
01-10-2024_trial,nc02_KidneyCortex,NC_KC2,n3,1807,29
01-10-2024_trial,nc05_KidneyCortex,NC_KC5,n4,2988,30
01-10-2024_trial,hf01_KidneyCortex,HF_KC1,n5,3914,30
01-10-2024_trial,nc01_LgIntestine,NC_LI1,n6,304,27
01-10-2024_trial,nc02_LgIntestine,NC_LI2,n7,1896,29
01-10-2024_trial,nc03_LgIntestine,NC_LI3,n8,1031,29
01-10-2024_trial,nc04_LgIntestine,NC_LI4,n9,51,15
01-10-2024_trial,hf05_LgIntestine,HF_LI5,n10,691,29
01-10-2024_trial,nc01_Liver_Ref,NC_Lv1,n11,10611,30
01-10-2024_trial,nc02_Liver,NC_Lv2,n12,1353,29
01-10-2024_trial,nc05_Liver,NC_Lv5,n13,1665,29
01-10-2024_trial,hf03_Liver_Ref,HF_Lv3,n14,4365,30
01-10-2024_trial,nc02_Spleen,NC_SPL2,n15,491,28
01-10-2024_trial,nc03_Spleen,NC_SPL3,n16,389,27
1/19/24,nc02_Muscle,NC_SM2,n17,136,23
1/19/24,hf04_Spleen,HF_SPL4,n18,2947,30
1/19/24,nc02_WAT,NC_AT2,n19,162,24
1/19/24,nc04_WAT,NC_AT4,n20,97,20
1/19/24,hf04_WAT,HF_AT4,n21,71,16
1/23/24,ldl01_Heart,LDLR_H1,n22,1410,29
1/23/24,ldl02_Heart,LDLR_H2,n23,595,28
1/23/24,ldl03_Heart,LDLR_H3,n24,1180,29
1/23/24,ldl04_Heart,LDLR_H4,n25,2017,30
1/23/24,ldl06_Heart,LDLR_H6,n26,712,29
1/23/24,ldl07_Heart,LDLR_H7,n27,1118,29
1/23/24,ldl08_Heart,LDLR_H8,n28,1076,29
1/23/24,ldl10_Heart,LDLR_H10,n29,1400,29
1/23/24,ldl01_LgIntestine,LDLR_LI1,n30,142,23
1/23/24,ldl02_LgIntestine,LDLR_LI2,n31,274,26
1/23/24,ldl04_LgIntestine,LDLR_LI4,n32,571,28
1/23/24,ldl06_LgIntestine,LDLR_LI6,n33,439,28
1/23/24,ldl07_LgIntestine,LDLR_LI7,n34,1628,29
1/23/24,ldl08_LgIntestine,LDLR_LI8,n35,1011,29
1/23/24,ldl10_LgIntestine,LDLR_LI10,n36,662,28
1/23/24,ldl01_Liver,LDLR_Lv1,n37,6662,30
1/23/24,ldl02_Liver,LDLR_Lv2,n38,4880,30
1/23/24,ldl03_Liver,LDLR_Lv3,n39,8957,30
1/23/24,ldl04_Liver,LDLR_Lv4,n40,5152,30
1/26/24,ldl01_KidneyCortex,KC1,n41,3417,30
1/26/24,ldl02_KidneyCortex,KC2,n42,3409,30
1/26/24,ldl03_KidneyCortex,KC3,n43,1708,29
1/26/24,ldl04_KidneyCortex,KC4,n44,2714,30
1/26/24,ldl06_KidneyCortex,KC6,n45,1564,29
1/26/24,ldl07_KidneyCortex,KC7,n46,3507,30
1/26/24,ldl08_KidneyCortex,KC8,n47,1483,29
1/26/24,ldl10_KidneyCortex,KC10,n48,1139,29
1/26/24,ldl01_KidneyMedulla,KM1,n49,1814,29
1/26/24,ldl02_KidneyMedulla,KM2,n50,1907,29
1/26/24,ldl03_KidneyMedulla,KM3,n51,1637,29
1/26/24,ldl04_KidneyMedulla,KM4,n52,1789,29
1/26/24,ldl06_KidneyMedulla,KM6,n53,943,29
1/26/24,ldl07_KidneyMedulla,KM7,n54,453,28
1/26/24,ldl08_KidneyMedulla,KM8,n55,506,28
1/26/24,ldl10_KidneyMedulla,KM10,n56,4070,30
1/26/24,ldl01_Lung,Lung1,n57,900,29
1/26/24,ldl02_Lung,Lung2,n58,1133,29
1/26/24,ldl03_Lung,Lung3,n59,767,29
1/26/24,ldl04_Lung,Lung4,n60,307,27
1/26/24,ldl06_Lung,Lung6,n61,664,28
1/26/24,ldl07_Lung,Lung7,n62,1594,29
1/26/24,ldl08_Lung,Lung8,n63,1514,29
1/26/24,ldl01_Muscle,SM1,n64,411,28
1/26/24,ldl02_Muscle,SM2,n65,149,23
1/26/24,ldl03_Muscle,SM3,n66,593,28
1/26/24,ldl04_Muscle,SM4,n67,835,29
1/26/24,ldl06_Muscle,SM6,n68,315,27
1/26/24,ldl07_Muscle,SM7,n69,359,27
1/26/24,ldl08_Muscle,SM8,n70,395,27
1/26/24,ldl10_Muscle,SM10,n71,735,29
1/26/24,ldl01_Spleen,Sp1,n72,1124,29
1/26/24,ldl03_Spleen,Sp3,n73,312,27
1/26/24,ldl04_Spleen,Sp4,n74,1186,29
1/26/24,ldl06_Spleen,Sp6,n75,1877,29
1/26/24,ldl10_Spleen,Sp10,n76,1161,29
1/29/24,ldl13_Heart,H13,n77,732,29
1/29/24,ldl14_Heart,H14,n78,884,29
1/29/24,ldl15_Heart,H15,n79,530,28
1/29/24,ldl16_Heart,H16,n80,538,28
1/29/24,ldl17_Heart,H17,n81,521,28
1/29/24,ldl18_Heart,H18,n82,969,29
1/29/24,ldl19_Heart,H19,n83,590,28
1/29/24,ldl20_Heart,H20,n84,611,28
1/29/24,ldl13_KidneyCortex,KC13,n85,925,29
1/29/24,ldl14_KidneyCortex,KC14,n86,1329,29
1/29/24,ldl15_KidneyCortex,KC15,n87,1530,29
1/29/24,ldl16_KidneyCortex,KC16,n88,1362,29
