## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --SORTING_COLLECTION_SIZE_RATIO 0.8 --INPUT /tmp/itamburi/36400634/n84_sorted.bam --OUTPUT /tmp/itamburi/36400634/n84_dd.bam --METRICS_FILE /tmp/itamburi/36400634/n84_mrkdp_met.txt --REMOVE_DUPLICATES true --ASSUME_SORTED true --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 0 --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 11 10:51:43 PDT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	20866672	1700140	0	0	11953029	1324414	0.572829	10583726

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.022038	5192374	0	5536432
2.0	1.164343	2099921	736472	2021932
3.0	1.184157	800318	123350	676964
4.0	1.186916	312833	31651	241992
5.0	1.1873	138081	12213	106461
6.0	1.187354	73060	6266	59393
7.0	1.187361	46960	3710	40787
8.0	1.187362	33326	2315	29882
9.0	1.187363	25692	1697	23654
10.0	1.187363	20488	1253	18956
11.0	1.187363	16977	981	15934
12.0	1.187363	14113	738	13019
13.0	1.187363	12133	548	11230
14.0	1.187363	10311	464	9351
15.0	1.187363	8949	370	8319
16.0	1.187363	7903	310	7340
17.0	1.187363	6835	282	6235
18.0	1.187363	6123	215	5655
19.0	1.187363	5376	173	4958
20.0	1.187363	4867	158	4639
21.0	1.187363	4513	118	4201
22.0	1.187363	4135	131	3732
23.0	1.187363	3706	125	3384
24.0	1.187363	3392	104	3144
25.0	1.187363	3005	69	2868
26.0	1.187363	2931	61	2634
27.0	1.187363	2607	67	2359
28.0	1.187363	2327	62	2212
29.0	1.187363	2256	46	2109
30.0	1.187363	2054	48	1961
31.0	1.187363	1926	34	1738
32.0	1.187363	1819	38	1596
33.0	1.187363	1699	36	1525
34.0	1.187363	1594	34	1451
35.0	1.187363	1482	31	1363
36.0	1.187363	1314	25	1307
37.0	1.187363	1382	18	1191
38.0	1.187363	1213	23	1116
39.0	1.187363	1178	24	1146
40.0	1.187363	1088	14	1047
41.0	1.187363	1086	17	1011
42.0	1.187363	1053	15	936
43.0	1.187363	961	10	889
44.0	1.187363	917	20	847
45.0	1.187363	848	11	799
46.0	1.187363	812	8	692
47.0	1.187363	792	9	711
48.0	1.187363	731	17	722
49.0	1.187363	716	8	657
50.0	1.187363	670	5	589
51.0	1.187363	680	11	595
52.0	1.187363	617	8	550
53.0	1.187363	593	7	524
54.0	1.187363	570	6	497
55.0	1.187363	521	5	449
56.0	1.187363	514	5	471
57.0	1.187363	466	5	443
58.0	1.187363	497	2	419
59.0	1.187363	435	5	419
60.0	1.187363	387	2	417
61.0	1.187363	427	4	385
