971733
0	943	0
2353	2447	944
3100	3852	1039
0	91	0
5237	5324	92
9145	9548	180
12824	13030	584
16377	16506	791
0	91	0
5237	5324	92
9145	9548	180
12824	13027	584
16377	16518	788
0	91	0
5237	5324	92
9145	9548	180
12824	13027	584
17783	18006	788
0	91	0
5237	5324	92
9145	9548	180
12824	13030	584
17783	18006	791
0	138	0
3533	3640	139
6941	7022	247
9473	9602	329
14824	14930	459
15919	16206	566
0	1686	0
0	1132	0
1855	1903	1133
7055	7147	1182
9863	9971	1275
11343	11549	1384
26238	26330	1591
30278	30450	1684
39187	39288	1857
50533	50713	1959
52891	54612	2140
65550	65631	3862
0	1903	0
7055	7147	1904
9863	9971	1997
11343	11549	2106
26238	26330	2313
30278	30450	2406
50533	50713	2579
52891	54612	2760
65550	65640	4482
0	1903	0
7055	7147	1904
9863	9971	1997
11343	11549	2106
30278	30450	2313
39187	39288	2486
50533	50713	2588
52891	54612	2769
65550	65640	4491
0	883	0
1606	1654	884
6806	6898	933
9614	9722	1026
11094	11300	1135
25989	26081	1342
30029	30201	1435
38938	39039	1608
50284	50464	1710
52642	54368	1891
0	1654	0
6806	6898	1655
9614	9722	1748
11094	11300	1857
25989	26081	2064
30029	30201	2157
38938	39039	2330
50284	50464	2432
52642	54363	2613
62670	62693	4335
0	1654	0
6806	6898	1655
9614	9722	1748
11094	11300	1857
25989	26081	2064
30029	30201	2157
38938	39039	2330
50284	50464	2432
52642	54363	2613
64929	65255	4335
0	883	0
1606	1654	884
6806	6898	933
9614	9722	1026
11094	11300	1135
25989	26081	1342
30029	30201	1435
50284	50464	1608
52642	54363	1789
65301	65391	3511
0	883	0
1606	1654	884
6806	6898	933
9614	9722	1026
11094	11300	1135
30029	30201	1342
38938	39039	1515
50284	50464	1617
52642	54363	1798
65301	65391	3520
0	166	0
1950	2191	167
8903	9004	409
20249	20429	511
22607	24328	692
35266	35356	2414
0	318	0
964	1364	319
1549	1845	720
2523	2583	1017
2796	3053	1078
4931	4991	1336
5494	5624	1397
5746	5915	1528
6031	6247	1698
7591	8386	1915
8788	8905	2711
10567	12531	2829
0	318	0
967	1364	319
1549	1845	717
2523	2583	1014
2796	3053	1075
4931	4991	1333
5494	5624	1394
5746	5915	1525
6031	6247	1695
7591	8386	1912
8788	8905	2708
10567	12531	2826
0	310	0
964	1364	311
1549	1845	712
2523	2583	1009
2796	3053	1070
4931	4991	1328
5494	5624	1389
5746	5915	1520
6031	6247	1690
7591	8386	1907
8788	8905	2703
10567	12531	2821
0	316	0
962	1362	317
1547	1843	718
2521	2581	1015
2794	3051	1076
4929	4989	1334
5492	5622	1395
5744	5913	1526
6029	6245	1696
7589	8384	1913
8786	8903	2709
8991	9639	2827
0	2117	0
2670	3937	2118
0	4582	0
5278	5385	4583
5575	5779	4691
7786	7898	4896
9729	15263	5009
0	261	0
1810	1889	262
2122	2394	342
0	310	0
511	6787	311
0	1546	0
2534	5435	1547
5521	6105	4449
0	1536	0
2524	2683	1537
5256	5766	1697
0	475	0
1605	1799	476
3000	3438	671
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21380	21481	1656
22382	22510	1758
24482	24650	1887
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21380	21481	1656
22371	22510	1758
24482	24650	1898
25060	26874	2067
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21005	21094	1656
21380	21481	1746
22371	22505	1848
24482	24650	1983
25139	26875	2152
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21005	21094	1656
21380	21481	1746
22371	22510	1848
24482	24650	1988
25139	26875	2157
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21005	21094	1656
21380	21481	1746
22371	22505	1848
24482	24650	1983
25060	26875	2152
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
16128	16230	1203
16971	17085	1306
18278	18414	1421
18872	18969	1558
21005	21094	1656
21380	21481	1746
22371	22510	1848
24482	24650	1988
25060	25514	2157
27495	27510	2612
0	309	0
1662	1775	310
2573	2791	424
3106	3231	643
3732	3808	769
5169	5252	846
12464	12637	930
14006	14074	1104
15079	15108	1173
